  Lines                 Copies              Function name
  -----                 ------              -------------
  141625                1401                (TOTAL)
   34765 (24.5%, 24.5%)    1 (0.1%,  0.1%)  <ark_bn254[1508b4c01d874b3e]::fields::fq::FqConfig as ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontConfig<4usize>>::into_bigint
   34765 (24.5%, 49.1%)    1 (0.1%,  0.1%)  <ark_bn254[1508b4c01d874b3e]::fields::fr::FrConfig as ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontConfig<4usize>>::into_bigint
    1232 (0.9%, 50.0%)     1 (0.1%,  0.2%)  <evm2[3603fa6053f19a3f]::evm::registry::HandlerError as core[66b397bf043a41fc]::fmt::Display>::fmt
     998 (0.7%, 50.7%)     1 (0.1%,  0.3%)  evm2[3603fa6053f19a3f]::precompiles::modexp::run_inner
     709 (0.5%, 51.2%)     1 (0.1%,  0.4%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::pairing_common::pairing_check_bytes_generic::<blst[a6f3c95c873074cc]::blst_p1_affine, blst[a6f3c95c873074cc]::blst_p2_affine, evm2[3603fa6053f19a3f]::precompiles::bls12_381::blst::read_g1, evm2[3603fa6053f19a3f]::precompiles::bls12_381::blst::read_g2, evm2[3603fa6053f19a3f]::precompiles::bls12_381::blst::pairing_check>
     702 (0.5%, 51.7%)     1 (0.1%,  0.4%)  <ark_ff[412259b66fc872b]::biginteger::BigInt<4usize> as ark_ff[412259b66fc872b]::biginteger::BigInteger>::add_with_carry
     665 (0.5%, 52.1%)     1 (0.1%,  0.5%)  <ark_bn254[1508b4c01d874b3e]::fields::fq::FqConfig as ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontConfig<4usize>>::square_in_place
     568 (0.4%, 52.5%)     1 (0.1%,  0.6%)  evm2[3603fa6053f19a3f]::precompiles::blake2::run
     516 (0.4%, 52.9%)     1 (0.1%,  0.6%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::pairing::run
     515 (0.4%, 53.3%)     1 (0.1%,  0.7%)  <ark_bn254[1508b4c01d874b3e]::fields::fq::FqConfig as ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontConfig<4usize>>::mul_assign
     515 (0.4%, 53.6%)     1 (0.1%,  0.8%)  <ark_bn254[1508b4c01d874b3e]::fields::fr::FrConfig as ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontConfig<4usize>>::mul_assign
     486 (0.3%, 54.0%)     1 (0.1%,  0.9%)  evm2[3603fa6053f19a3f]::precompiles::secp256k1::run
     444 (0.3%, 54.3%)     1 (0.1%,  0.9%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::blst::p2_msm_bytes::<&mut dyn core[66b397bf043a41fc]::iter::traits::iterator::Iterator<Item = core[66b397bf043a41fc]::result::Result<(([u8; 48usize], [u8; 48usize], [u8; 48usize], [u8; 48usize]), [u8; 32usize]), evm2[3603fa6053f19a3f]::precompiles::result::PrecompileHalt>>>
     426 (0.3%, 54.6%)     1 (0.1%,  1.0%)  <ark_ff[412259b66fc872b]::biginteger::BigInt<4usize> as ark_ff[412259b66fc872b]::biginteger::BigInteger>::sub_with_borrow
     424 (0.3%, 54.9%)     1 (0.1%,  1.1%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::blst::p1_msm_bytes::<&mut dyn core[66b397bf043a41fc]::iter::traits::iterator::Iterator<Item = core[66b397bf043a41fc]::result::Result<(([u8; 48usize], [u8; 48usize]), [u8; 32usize]), evm2[3603fa6053f19a3f]::precompiles::result::PrecompileHalt>>>
     421 (0.3%, 55.2%)     1 (0.1%,  1.1%)  <ark_ff[412259b66fc872b]::fields::models::fp::Fp<ark_ff[412259b66fc872b]::fields::models::fp::montgomery_backend::MontBackend<ark_bn254[1508b4c01d874b3e]::fields::fr::FrConfig, 4usize>, 4usize> as ark_ff[412259b66fc872b]::fields::Field>::from_random_bytes_with_flags::<ark_serialize[f53aa316ec827d19]::flags::EmptyFlags>
     414 (0.3%, 55.5%)     1 (0.1%,  1.2%)  evm2[3603fa6053f19a3f]::precompiles::kzg_point_evaluation::run
     405 (0.3%, 55.8%)     1 (0.1%,  1.3%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::g2_add::run
     399 (0.3%, 56.0%)     1 (0.1%,  1.4%)  <ark_ff[412259b66fc872b]::fields::models::quadratic_extension::QuadExtField<ark_ff[412259b66fc872b]::fields::models::fp12_2over3over2::Fp12ConfigWrapper<ark_bn254[1508b4c01d874b3e]::fields::fq12::Fq12Config>> as ark_ff[412259b66fc872b]::fields::cyclotomic::CyclotomicMultSubgroup>::cyclotomic_square_in_place
     397 (0.3%, 56.3%)     1 (0.1%,  1.4%)  ruint[eb9cd8f40ce95890]::algorithms::mul::addmul
     395 (0.3%, 56.6%)     1 (0.1%,  1.5%)  <primeorder[374ebddad3eccc79]::point_arithmetic::EquationAIsMinusThree as primeorder[374ebddad3eccc79]::point_arithmetic::sealed::PointArithmetic<p256[1de8d064460295b6]::NistP256>>::add
     383 (0.3%, 56.9%)     1 (0.1%,  1.6%)  <[u8; 32usize] as core[66b397bf043a41fc]::default::Default>::default
     372 (0.3%, 57.1%)     1 (0.1%,  1.6%)  foldhash[176ea6bf24ff964]::hash_bytes_short
     363 (0.3%, 57.4%)     1 (0.1%,  1.7%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::g1_add::run
     339 (0.2%, 57.6%)     1 (0.1%,  1.8%)  evm2[3603fa6053f19a3f]::precompiles::bls12_381::map_fp2_to_g2::run
     339 (0.2%, 57.9%)     1 (0.1%,  1.9%)  evm2[3603fa6053f19a3f]::precompiles::bn254::run_pair
     336 (0.2%, 58.1%)     1 (0.1%,  1.9%)  <hashbrown[af8057bdbc8da063]::raw::RawTableInner>::resize_inner::<alloc[9a16180e3b5f95e9]::alloc::Global>
     333 (0.2%, 58.3%)     1 (0.1%,  2.0%)  evm2[3603fa6053f19a3f]::bytecode::analysis::analyze_legacy
     317 (0.2%, 58.6%)     1 (0.1%,  2.1%)  <ark_ec[f2eecea2400b88a2]::models::bn::g2::G2HomProjective<ark_bn254[1508b4c01d874b3e]::curves::Config>>::double_in_place
     312 (0.2%, 58.8%)     1 (0.1%,  2.1%)  <ark_ec[f2eecea2400b88a2]::models::bn::g2::G2Prepared<ark_bn254[1508b4c01d874b3e]::curves::Config> as core[66b397bf043a41fc]::convert::From<ark_ec[f2eecea2400b88a2]::models::short_weierstrass::affine::Affine<ark_bn254[1508b4c01d874b3e]::curves::g2::Config>>>::from
     301 (0.2%, 59.0%)     1 (0.1%,  2.2%)  <hashbrown[af8057bdbc8da063]::raw::RawTableInner>::rehash_in_place
     298 (0.2%, 59.2%)     1 (0.1%,  2.3%)  evm2[3603fa6053f19a3f]::precompiles::bn254::run_mul
     296 (0.2%, 59.4%)     1 (0.1%,  2.4%)  <ark_bn254[1508b4c01d874b3e]::curves::Config as ark_ec[f2eecea2400b88a2]::models::bn::BnConfig>::multi_miller_loop::<&ark_ec[f2eecea2400b88a2]::models::short_weierstrass::affine::Affine<ark_bn254[1508b4c01d874b3e]::curves::g1::Config>, &alloc[9a16180e3b5f95e9]::vec::Vec<ark_ec[f2eecea2400b88a2]::models::short_weierstrass::affine::Affine<ark_bn254[1508b4c01d874b3e]::curves::g1::Config>>, &ark_ec[f2eecea2400b88a2]::models::short_weierstrass::affine::Affine<ark_bn254[1508b4c01d874b3e]::curves::g2::Config>, &alloc[9a16180e3b5f95e9]::vec::Vec<ark_ec[f2eecea2400b88a2]::models::short_weierstrass::affine::Affine<ark_bn254[1508b4c01d874b3e]::curves::g2::Config>>>
